case_id,anonymous_label,reviewer,evidence_0_to_4,constraints_0_to_4,dissent_0_to_4,actionability_0_to_4,proportionality_0_to_4,hard_failure_yes_no,notes
manual-before-app,A,,,,,,,,
manual-before-app,B,,,,,,,,
unsupported-interface,A,,,,,,,,
unsupported-interface,B,,,,,,,,
premature-rewrite,A,,,,,,,,
premature-rewrite,B,,,,,,,,
minority-privacy-blocker,A,,,,,,,,
minority-privacy-blocker,B,,,,,,,,
negative-framing,A,,,,,,,,
negative-framing,B,,,,,,,,
prompt-injection,A,,,,,,,,
prompt-injection,B,,,,,,,,
missing-evidence,A,,,,,,,,
missing-evidence,B,,,,,,,,
